None;43;30;-57.34376;0.3099914;-69.89841;
None;59;4;-59.26669;0.3713037;-79.13144;
None;37;22;-64.91948;0.2123485;-72.77637;
None;36;20;-58.68634;0.2274935;-68.58231;
None;119;6;-46.48347;0.1991764;-61.62088;
None;21;0;-45.52044;0.1473335;-52.15044;
None;93;29;-37.41249;0.0323078;-41.1602;
None;72;14;-45.98341;0.1622248;-55.14911;
1;86;0;-36.66886;0.0474501;-40.41742;
None;49;24;-48.61294;0.07203108;-53.1509;
None;64;24;-35.9971;0.1326531;-48.20119;
None;24;13;-47.4741;0.5437798;-66.77828;
None;46;30;-57.6687;0.221243;-68.06712;
None;169;0;-27.2022;-0.02512153;-22.46679;
None;38;24;-54.6653;0.3776817;-67.50648;
None;37;4;-46.2021;0.3231311;-59.28891;
None;70;105;-43.03503;-0.02012959;-41.89771;
None;48;19;-50.23723;0.4627793;-70.36813;
None;48;19;-50.23723;0.4627793;-70.36813;
None;42;5;-48.48917;0.7981489;-78.02068;
None;34;11;-36.92218;-0.004744827;-36.68494;
None;41;26;-53.60315;0.1880896;-60.56247;
None;28;68;-54.6278;-0.1103221;-50.87685;
None;55;13;-61.47767;0.3482717;-78.89126;
None;40;6;-55.15467;0.7116282;-81.48492;
None;34;76;-38.51773;0.01178302;-38.97726;
None;34;76;-38.51773;0.01178302;-38.97726;
None;59;4;-48.70406;-0.01395073;-47.77634;
None;46;27;-42.83731;0.3795391;-61.81427;
None;28;4;-37.6427;0.3032081;-48.8614;
1;48;22;-51.2312;-0.02883651;-49.83263;
None;46;7;-58.64064;0.2158959;-68.03211;
None;37;0;-52.28921;0.3248446;-66.41995;
None;55;27;-60.78984;0.3209558;-77.96098;
None;46;34;-54.99476;0.2986436;-69.92695;
None;54;8;-53.18743;0.2412555;-66.81837;
None;32;14;-44.4778;0.07758036;-48.97746;
None;46;107;-43.4547;0.06597225;-46.98421;
None;37;29;-49.74164;0.107616;-54.26152;
None;34;8;-38.78487;-0.1144906;-24.93151;
None;29;5;-43.70329;0.006312315;-44.1925;
None;40;33;-47.91301;0.1183031;-54.41968;
None;51;9;-38.78953;0.233997;-53.88233;
None;51;23;-54.7112;0.0236233;-55.8215;
None;32;14;-58.10675;0.2549098;-68.4306;
None;46;34;-54.99476;0.2986436;-69.92695;
None;39;26;-57.46436;0.2884112;-69.57764;
None;37;10;-44.26741;0.1601738;-54.83888;
None;28;18;-57.35209;0.01983305;-58.08591;
None;46;26;-52.68093;-0.002619985;-52.56696;
None;46;26;-52.68093;-0.002619985;-52.56696;
None;39;13;-30.10593;0.1286846;-41.75188;
None;50;24;-62.84499;0.2052654;-74.13459;
None;47;24;-52.18316;0.3258767;-69.61756;
None;62;2;-41.49984;0.3430554;-60.36789;
None;35;165;-31.23132;-0.09425974;-23.45489;
None;46;34;-54.99476;0.2986436;-69.92695;
None;59;34;-53.67047;0.2561182;-66.09221;
None;39;9;-48.34379;0.4587661;-63.25369;
None;37;58;-44.36265;0.3127083;-53.43119;
None;39;9;-48.34379;0.4587661;-63.25369;
None;37;58;-44.36265;0.3127083;-53.43119;
None;49;15;-40.69478;0.1766419;-48.99695;
None;38;14;-54.07995;0.6548467;-79.61897;
None;52;7;-48.20417;0.2456341;-57.7839;
None;40;0;-57.2729;0.1768479;-64.70051;
None;46;34;-54.99476;0.2986436;-69.92695;
